기간	자치구	동	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구
기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2020	합계	합계	3,982,290	1,390,701	1,033,901	792,690	602,791	130,122	25,770	6,315
2020	종로구	소계	63,414	25,983	16,281	10,882	7,679	2,027	440	122
2020	종로구	사직동	3,839	1,487	1,073	701	432	112	28	6
2020	종로구	삼청동	1,031	380	295	189	112	39	11	5
2020	종로구	부암동	3,773	1,129	1,089	772	552	176	39	16
2020	종로구	평창동	6,265	1,302	1,891	1,500	1,156	337	62	17
2020	종로구	무악동	2,883	494	792	744	657	169	20	7
2020	종로구	교남동	4,106	1,219	1,187	917	646	113	21	X
2020	종로구	가회동	1,733	631	468	343	228	45	13	5
2020	종로구	종로1.2.3.4가동	3,636	2,371	770	274	163	41	13	X
2020	종로구	종로5·6가동	2,692	1,608	577	288	149	55	10	5
2020	종로구	이화동	3,883	2,094	910	469	308	78	19	5
2020	종로구	창신1동	2,340	1,069	659	338	191	70	11	X
2020	종로구	창신2동	3,484	1,288	984	626	425	123	28	10
2020	종로구	창신3동	2,598	613	786	653	421	102	20	X
2020	종로구	숭인1동	2,622	1,007	749	473	289	78	20	6
2020	종로구	숭인2동	5,065	2,988	1,080	539	357	80	16	5
2020	종로구	청운효자동	4,659	1,378	1,252	964	806	200	49	10
2020	종로구	혜화동	8,805	4,925	1,719	1,092	787	209	60	13
2020	중구	소계	55,093	22,818	14,978	9,301	6,134	1,425	352	85
2020	중구	소공동	925	435	244	160	70	12	X	X
2020	중구	회현동	2,010	867	577	307	198	50	9	X
2020	중구	명동	1,061	581	258	130	65	20	X	6
2020	중구	필동	1,906	1,020	485	221	127	39	11	X
2020	중구	장충동	2,628	1,509	565	274	206	61	13	X
2020	중구	광희동	2,559	1,391	676	280	163	34	12	X
2020	중구	을지로동	1,114	781	230	57	36	7	X	X
2020	중구	신당5동	4,949	2,182	1,313	773	522	126	25	8
2020	중구	황학동	6,213	2,963	1,649	908	527	126	35	5
2020	중구	중림동	4,976	1,627	1,390	1,065	719	136	29	10
2020	중구	신당동	4,028	2,223	944	481	285	68	24	X
2020	중구	다산동	6,264	2,466	1,761	1,054	745	172	52	14
2020	중구	약수동	6,925	2,054	2,209	1,504	918	189	43	8
2020	중구	청구동	5,764	1,924	1,631	1,173	797	194	36	9
2020	중구	동화동	3,771	795	1,046	914	756	191	56	13
2020	용산구	소계	95,714	36,881	25,941	17,655	11,733	2,812	565	127
2020	용산구	후암동	7,283	2,800	1,941	1,344	895	239	48	16
2020	용산구	용산2가동	4,502	1,911	1,270	769	411	117	20	X
2020	용산구	남영동	3,789	2,382	759	364	206	68	9	X
2020	용산구	원효로2동	5,443	1,601	1,481	1,195	916	196	39	15
2020	용산구	효창동	3,922	1,082	1,136	854	650	157	33	10
2020	용산구	용문동	4,937	1,576	1,392	1,079	692	162	32	X
2020	용산구	이촌1동	8,975	1,212	2,594	2,621	2,052	403	79	14
2020	용산구	이촌2동	3,302	803	1,102	812	442	119	20	X
2020	용산구	이태원1동	3,105	1,479	845	471	226	61	19	X
2020	용산구	이태원2동	4,144	1,874	1,139	632	359	109	26	5
2020	용산구	서빙고동	4,701	1,178	1,330	1,023	872	251	43	X
2020	용산구	보광동	6,643	3,121	1,750	997	593	150	26	6
2020	용산구	청파동	9,829	5,218	2,251	1,244	839	202	61	14
2020	용산구	원효로1동	6,919	2,735	1,861	1,296	841	154	28	X
2020	용산구	한강로동	8,785	3,755	2,434	1,463	901	181	43	8
2020	용산구	한남동	9,435	4,154	2,656	1,491	838	243	39	14
2020	성동구	소계	122,186	42,585	32,368	25,023	17,568	3,655	781	206
2020	성동구	왕십리2동	6,925	2,275	1,859	1,445	1,061	216	52	17
2020	성동구	마장동	9,719	3,674	2,511	1,748	1,362	318	83	23
2020	성동구	사근동	7,150	4,754	1,167	647	418	133	25	6
2020	성동구	행당1동	5,748	1,930	1,522	1,192	883	175	32	14
