"시설ID","시설명","서비스분류코드","서비스분류","자치구코드","자치구명","X좌표값","Y좌표값","우편번호","기본주소","상세주소","사이트URL","사용료무료여부","사용료","시설형태코드","시설형태","학기시작시간","학기종료시간","방학시작시간","방학종료시간","토요일운영여부","토요일운영시작시간","토요일운영종료시간","등록일시","수정일시"
"JG210403","유락종합사회복지관 청소년방과후아카데미 ‘청울'","1010","청소년방과후아카데미","11140","중구","127.02279","37.5651","04579","서울특별시 중구 퇴계로 460"," (신당동)","http://www.yurak.or.kr","Y","","2002","구립","1600","2000","1600","2000","N","","","2021-04-16 09:33:01.0","2021-06-07 14:31:30.0"
"JG210402","중구청소년센터 청소년방과후아카데미","1010","청소년방과후아카데미","11140","중구","127.01257","37.55188","04596","서울특별시 중구 동호로5길 19"," (신당동)","https://www.j-youth.org","Y","","2002","구립","1530","2000","1530","2000","N","","","2021-04-15 18:12:09.0","2021-06-07 14:31:57.0"
"YC210401","구립신월청소년문화센터 방과후아카데미 ‘도담다담’","1010","청소년방과후아카데미","11470","양천구","126.82543","37.53518","07910","서울특별시 양천구 가로공원로 86"," (신월동)","https://www.swyouth.or.kr/","Y","","2002","구립","1530","1930","1200","1600","N","","","2021-04-15 18:08:30.0","2021-06-07 14:17:20.0"
"MP210402","구립망원청소년문화센터 청소년방과후아카데미 ‘꿈터’","1010","청소년방과후아카데미","11440","마포구","126.89872","37.55695","03957","서울특별시 마포구 월드컵로25길 164"," (망원동)","http://www.mwyouth.org/","Y","","2002","구립","1500","1900","1500","1900","N","","","2021-04-15 18:04:24.0","2021-06-07 14:16:34.0"
"GN210401","시립수서청소년센터 청소년방과후아카데미","1010","청소년방과후아카데미","11680","강남구","127.08865","37.48357","06362","서울특별시 강남구 광평로 144"," (수서동)","https://www.youtra.or.kr","Y","","2001","시립","1500","1900","1000","1400","N","","","2021-04-15 18:01:09.0","2021-06-07 14:27:42.0"
"JR210402","시립중랑청소년센터 청소년방과후아카데미","1010","청소년방과후아카데미","11260","중랑구","127.08604","37.57331","02254","서울특별시 중랑구 용마산로 217"," (면목동)","http://www.jjang.or.kr/jjang/","Y","","2001","시립","1500","1900","1200","1600","N","","","2021-04-15 17:57:55.0","2021-06-07 14:28:47.0"
"JR210401","시립망우청소년센터 청소년방과후아카데미 ‘꿈밭’","1010","청소년방과후아카데미","11260","중랑구","127.10886","37.60624","02062","서울특별시 중랑구 송림길 156"," (망우동)","http://mangwoo.kr/","Y","","2001","시립","1600","1930","1400","1730","N","","","2021-04-15 17:54:02.0","2021-06-07 14:20:30.0"
"JG210401","시립서울청소년센터 청소년방과후아카데미 ‘폴리’","1010","청소년방과후아카데미","11140","중구","126.99056","37.56747","04543","서울특별시 중구 을지로11길 23"," (수표동)","https://www.youthc.or.kr/","Y","","2001","시립","1630","1930","1200","1500","N","","","2021-04-15 17:48:19.0","2021-04-26 10:06:19.0"
"EP210401","시립은평청소년센터 청소년방과후아카데미","1010","청소년방과후아카데미","11380","은평구","126.92443","37.5942","03476","서울특별시 은평구 백련산로4길 16"," (응암동)","http://www.woori1318.or.kr","Y","","2001","시립","1600","2000","1600","2000","N","","","2021-04-15 17:45:02.0","2021-06-07 14:28:13.0"
"YF210401","시립문래청소년센터 청소년방과후아카데미 ‘희애뜰’","1010","청소년방과후아카데미","11560","영등포구","126.8941","37.51886","07296","서울특별시 영등포구 문래로 110"," (문래동3가)","http://www.mullaeyouth.or.kr/","Y","","2001","시립","1500","2000","1500","2000","N","","","2021-04-15 17:40:14.0","2021-06-07 14:20:59.0"
