,시군구별,보험료분위별,평균보험료(원)
0,서울,계,125604
1,서울,1분위,26698
2,서울,2분위,41484
3,서울,3분위,44701
4,서울,4분위,51084
5,서울,5분위,68575
6,서울,6분위,86644
7,서울,7분위,107952
8,서울,8분위,137233
9,서울,9분위,184643
10,서울,10분위,378654
11,인천,계,102529
12,인천,1분위,26169
13,인천,2분위,42585
14,인천,3분위,45320
15,인천,4분위,52690
16,인천,5분위,68321
17,인천,6분위,86352
18,인천,7분위,108100
19,인천,8분위,136759
20,인천,9분위,184435
21,인천,10분위,323624
22,경기,계,112882
23,경기,1분위,25866
24,경기,2분위,42794
25,경기,3분위,47206
26,경기,4분위,53514
27,경기,5분위,68787
28,경기,6분위,86560
29,경기,7분위,107952
30,경기,8분위,136999
31,경기,9분위,184431
32,경기,10분위,335987
33,강원,계,91332
34,강원,1분위,20386
35,강원,2분위,36630
36,강원,3분위,44853
37,강원,4분위,54611
38,강원,5분위,65312
39,강원,6분위,84739
40,강원,7분위,107525
41,강원,8분위,136777
42,강원,9분위,185212
43,강원,10분위,308608
44,부산,계,104377
45,부산,1분위,24566
46,부산,2분위,38051
47,부산,3분위,42491
48,부산,4분위,55710
49,부산,5분위,68027
50,부산,6분위,85679
51,부산,7분위,108229
52,부산,8분위,136910
53,부산,9분위,184540
54,부산,10분위,347284
55,대구,계,105874
56,대구,1분위,24647
57,대구,2분위,38754
58,대구,3분위,43144
59,대구,4분위,56481
60,대구,5분위,67995
61,대구,6분위,85927
62,대구,7분위,108249
63,대구,8분위,137044
64,대구,9분위,184753
65,대구,10분위,351710
66,울산,계,121091
67,울산,1분위,23554
68,울산,2분위,36819
69,울산,3분위,42524
70,울산,4분위,56322
71,울산,5분위,69110
72,울산,6분위,86735
73,울산,7분위,108428
74,울산,8분위,137419
75,울산,9분위,184859
76,울산,10분위,315321
77,경북,계,94620
78,경북,1분위,19733
79,경북,2분위,35753
80,경북,3분위,43452
81,경북,4분위,52898
82,경북,5분위,64408
83,경북,6분위,84775
84,경북,7분위,107930
85,경북,8분위,136902
86,경북,9분위,184813
87,경북,10분위,311627
88,경남,계,99117
89,경남,1분위,21770
90,경남,2분위,37241
91,경남,3분위,43958
92,경남,4분위,55022
93,경남,5분위,66226
94,경남,6분위,85594
95,경남,7분위,108107
96,경남,8분위,136922
97,경남,9분위,184662
98,경남,10분위,317497
99,대전,계,105323
100,대전,1분위,24932
101,대전,2분위,38760
102,대전,3분위,43183
103,대전,4분위,56210
104,대전,5분위,67904
105,대전,6분위,85940
106,대전,7분위,108465
107,대전,8분위,137192
108,대전,9분위,184958
109,대전,10분위,318226
110,세종,계,122119
111,세종,1분위,24270
112,세종,2분위,40686
113,세종,3분위,51096
114,세종,4분위,59189
115,세종,5분위,69808
116,세종,6분위,87005
117,세종,7분위,109138
118,세종,8분위,138287
119,세종,9분위,184082
120,세종,10분위,294618
121,충북,계,97951
122,충북,1분위,21197
123,충북,2분위,37848
124,충북,3분위,45193
125,충북,4분위,55454
126,충북,5분위,67314
127,충북,6분위,86254
128,충북,7분위,108286
129,충북,8분위,136752
130,충북,9분위,184573
131,충북,10분위,313885
132,충남,계,100198
133,충남,1분위,20431
134,충남,2분위,36455
135,충남,3분위,45188
136,충남,4분위,54183
137,충남,5분위,65948
138,충남,6분위,85424
139,충남,7분위,107908
140,충남,8분위,136977
141,충남,9분위,184178
142,충남,10분위,313172
143,광주,계,102562
144,광주,1분위,24730
145,광주,2분위,39317
146,광주,3분위,44586
147,광주,4분위,55993
148,광주,5분위,67552
149,광주,6분위,85976
150,광주,7분위,108097
151,광주,8분위,137073
152,광주,9분위,184460
153,광주,10분위,328894
154,전북,계,90978
155,전북,1분위,20202
156,전북,2분위,37987
157,전북,3분위,44445
158,전북,4분위,53329
159,전북,5분위,64154
160,전북,6분위,84745
161,전북,7분위,107827
162,전북,8분위,136863
163,전북,9분위,185510
164,전북,10분위,309094
165,전남,계,89601
166,전남,1분위,17720
167,전남,2분위,34942
168,전남,3분위,43987
169,전남,4분위,50823
170,전남,5분위,62381
171,전남,6분위,84179
172,전남,7분위,107611
173,전남,8분위,136995
174,전남,9분위,184605
175,전남,10분위,319767
176,제주,계,95415
177,제주,1분위,22203
178,제주,2분위,35746
179,제주,3분위,44520
180,제주,4분위,57156
181,제주,5분위,67521
182,제주,6분위,85118
183,제주,7분위,107366
184,제주,8분위,136082
185,제주,9분위,184631
186,제주,10분위,343704
