,시도별,응답자수(명),조율(%),조율표준오차,표준화율(%),표준화율표준오차
1,서울,"22,909",6.5,0.2,6.5,0.2
2,부산,"14,509",6.1,0.2,5.5,0.2
3,대구,"7,289",5.5,0.3,5.4,0.3
4,인천,"8,972",7.6,0.4,7.6,0.3
5,광주,"4,567",5.5,0.4,5.4,0.4
6,대전,"4,577",4.2,0.3,4.2,0.3
7,울산,"4,551",5.4,0.4,5.4,0.4
8,세종,915,4.7,0.9,4.9,0.9
9,경기,"41,858",6.7,0.1,6.5,0.1
10,강원,"15,810",5.9,0.3,5.7,0.4
11,충북,"12,481",6.8,0.3,6.4,0.3
12,충남,"13,480",6.6,0.3,6.5,0.3
13,전북,"12,406",7.1,0.4,6.7,0.4
14,전남,"19,520",4.6,0.2,4.2,0.3
15,경북,"22,174",6.6,0.2,6.5,0.3
16,경남,"17,942",4.9,0.2,4.8,0.3
17,제주,"5,049",4.8,0.5,4.6,0.5
