,시도별,30세,40세,50세
0,서울,4.182809729331861,4.206634122868666,3.0220941516881696
1,부산,3.4546141256452225,3.3582798313262163,2.459439021036711
2,대구,3.0455779195600834,3.484824152882608,2.4007489801832325
3,인천,3.9581914391994553,4.268945592662181,3.172968925496069
4,광주,3.2054395337542494,3.10649653907097,2.388535031847134
5,대전,4.115070567241659,4.270152505446624,3.195996785740376
6,울산,3.516467711779088,3.37609723160027,2.4637747405951456
7,세종,2.5322079075966237,4.002574002574002,3.0562585166439558
8,경기,3.8572368027739583,4.115892814384292,3.1690631272786858
9,강원,3.4988940277498495,3.5702224152072177,2.4359403473539367
10,충북,4.138958954368264,3.9247681209206458,2.7123901430294675
11,충남,3.981294778840791,3.770910995409594,2.7382803821373027
12,전북,3.0798729702199052,2.8964282808559108,2.225650789482323
13,전남,2.4841634579555336,2.681215267918712,2.09009009009009
14,경북,3.335795653357179,3.3971537360589776,2.205529108616849
15,경남,2.9766599480033884,3.288456461892371,2.4973030415251096
16,제주,4.243406512450273,3.8602776533811016,2.6065573770491803
